country_code,city,year,pm25_concentration,pm10_concentration,no2_concentration,latitude,longitude
AUT,Mühlbach,2021,\N,\N,6.0,47.9367,13.0158
AUT,Niklasdorf,2013,\N,\N,16.0,47.3961111,15.1469444
AUT,Pamet,2010,\N,\N,10.0,48.10611,15.919448
AUT,Pamet,2013,\N,\N,10.0,48.1061111,15.91944444
AUT,Pöchlarn,2010,\N,\N,19.0,48.213055,15.207228
AUT,Proleb,2014,\N,\N,\N,47.3961,15.1469
AUT,Purkersdorf,2013,\N,\N,21.0,48.1956675,16.143506
AUT,Purkersdorf,2014,\N,\N,18.0,48.1955,16.1434
AUT,Purkersdorf,2015,\N,\N,19.0,48.1955,16.1434
AUT,Purkersdorf,2016,\N,\N,18.0,48.1955,16.1434
AUT,Purkersdorf,2017,\N,\N,18.0,48.1955,16.1434
AUT,Purkersdorf,2018,\N,\N,16.0,48.1955,16.1434
AUT,Purkersdorf,2019,\N,\N,16.0,48.1955,16.1434
AUT,Purkersdorf,2020,\N,\N,12.0,48.1955,16.1434
AUT,Purkersdorf,2021,\N,\N,13.0,48.1955,16.1434
AUT,Radfeld,2013,\N,\N,36.0,47.46380835,11.933968
AUT,Radfeld,2014,\N,\N,19.0,47.4587,11.9099
AUT,Radfeld,2015,\N,\N,21.0,47.4587,11.9099
AUT,Radfeld,2016,\N,\N,19.0,47.4587,11.9099
AUT,Radfeld,2017,\N,\N,19.0,47.4587,11.9099
AUT,Radfeld,2018,\N,\N,17.0,47.4587,11.9099
AUT,Radfeld,2019,\N,\N,16.0,47.4587,11.9099
AUT,Radfeld,2020,\N,\N,14.0,47.4587,11.9099
AUT,Radfeld,2021,\N,\N,13.0,47.4587,11.9099
AUT,Rauris,2013,\N,\N,1.0,47.0541667,12.95777778
AUT,Sankt johann im pongau,2013,\N,\N,24.0,47.351387,13.205556
AUT,Sankt Johann im Pongau,2013,\N,\N,24.0,47.3514,13.2056
AUT,Sankt Johann im Pongau,2014,\N,\N,21.0,47.3514,13.2056
AUT,Sankt Johann im Pongau,2015,\N,\N,23.0,47.3514,13.2056
AUT,Sankt Johann im Pongau,2016,\N,\N,22.0,47.3514,13.2056
AUT,Sankt Johann im Pongau,2017,\N,\N,24.0,47.3514,13.2056
AUT,Sankt Johann im Pongau,2018,\N,\N,21.0,47.3514,13.2056
AUT,Sankt Johann im Pongau,2019,\N,\N,21.0,47.3514,13.2056
AUT,Sankt Johann im Pongau,2020,\N,\N,17.0,47.3514,13.2056
AUT,Sankt Johann im Pongau,2021,\N,\N,17.0,47.3514,13.2056
AUT,Sankt valentin,2013,\N,\N,24.0,48.19223,14.51954
AUT,Schottwien,2013,\N,\N,6.0,47.6703,15.8603
AUT,Schottwien,2014,\N,\N,5.0,47.6703,15.8603
AUT,Schottwien,2015,\N,\N,7.0,47.6703,15.8603
AUT,Schottwien,2016,\N,\N,4.0,47.6703,15.8603
AUT,Schottwien,2017,\N,\N,5.0,47.6703,15.8603
AUT,Schottwien,2018,\N,\N,5.0,47.6703,15.8603
AUT,Schottwien,2019,\N,\N,4.0,47.6703,15.8603
AUT,Schottwien,2020,\N,\N,3.0,47.6703,15.8603
AUT,Schottwien,2021,\N,\N,4.0,47.6703,15.8603
AUT,Steinbach,2010,\N,\N,11.0,47.972778,13.015847
AUT,Strassengel,2013,\N,\N,23.0,47.1131,15.3392
AUT,Strassengel,2014,\N,\N,22.0,47.1131,15.3392
AUT,Strassengel,2015,\N,\N,22.0,47.1131,15.3392
AUT,Strassengel,2016,\N,\N,22.0,47.1131,15.3392
