country_code,country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
RUS,Russian Federation,Zhukovka,38,1,38,0,18,53.5333,33.7333
CHN,China,Yiyang,170,9,18,31,170,28.5833,112.3333
CHN,China,Yiyang,170,9,18,31,170,26.4103,112.3913
COL,Colombia,Yopal,50,1,10,0,50,5.35,-72.41
TJK,Tajikistan,Yovon,153,1,25,1,153,38.3167,69.05
MWI,Malawi,Zomba,59,1,23,0,59,-15.3833,35.3333
RUS,Russian Federation,Zverevo,46,1,46,0,24,48.02,40.12
SLV,El Salvador,Delgado,151,4,9,12,151,13.7167,-89.1667
USA,United States of America,Denison,128,1,25,2,128,33.7672,-96.5808
IND,India,Deogarh,157,2,65,1,157,21.5383,84.7334
RUS,Russian Federation,Dolinsk,32,1,32,0,17,47.3167,142.8
KAZ,Kazakhstan,Abay,42,1,35,0,42,49.6311,72.8539
KAZ,Kazakhstan,Abay,42,1,35,0,42,43.2092,76.7603
BRA,Brazil,Agudos,43,1,11,2,43,-22.4739,-48.9836
EGY,Egypt,Alexandria,56,1,56,1,35,31.1975,29.8925
EGY,Egypt,Alexandria,56,1,56,1,35,38.8185,-77.0861
EGY,Egypt,Alexandria,56,1,56,1,35,43.9686,25.3333
EGY,Egypt,Alexandria,56,1,56,1,35,31.2923,-92.4702
EGY,Egypt,Alexandria,56,1,56,1,35,45.8776,-95.3767
EGY,Egypt,Alexandria,56,1,56,1,35,-6.4128,-38.0158
EGY,Egypt,Alexandria,56,1,56,1,35,38.9621,-84.3859
PRT,Portugal,Alfena,27,0,27,2,21,41.2381,-8.5253
BRA,Brazil,Alfenas,42,1,8,3,42,-21.4289,-45.9469
BEL,Belgium,Amay,50,1,22,5,50,50.5478,5.3192
BRA,Brazil,Anicuns,49,1,5,3,49,-16.4608,-49.9619
DEU,Germany,Anklam,35,0,35,0,31,53.85,13.6833
BRA,Brazil,Aparecida,82,3,2,8,82,-22.8472,-45.23
USA,United States of America,Artesia,61,1,21,4,61,33.8676,-118.0805
USA,United States of America,Artesia,61,1,21,4,61,32.8497,-104.4268
URY,Uruguay,Artigas,17,0,17,0,5,-30.4667,-56.4667
IND,India,Aruppukkottai,56,1,30,0,56,9.5139,78.1002
KAZ,Kazakhstan,Atbasar,41,1,36,0,41,51.8,68.3333
USA,United States of America,Auburn Hills,49,1,31,7,49,42.6735,-83.2448
SLV,El Salvador,Ayutuxtepeque,107,3,20,10,107,13.7356,-89.2017
DEU,Germany,Bad Salzdetfurth,40,0,33,1,40,52.0653,10.0092
DEU,Germany,Bad Salzuflen,39,0,34,1,39,52.0833,8.7467
BRA,Brazil,Barra Velha,76,3,3,7,76,-26.6319,-48.685
USA,United States of America,Beaver Dam,54,2,33,6,54,43.4688,-88.8309
USA,United States of America,Belchertown,27,1,27,5,27,42.2788,-72.4004
GBR,United Kingdom of Great Britain and Northern Ireland,Belfast,29,0,29,2,23,54.5964,-5.93
USA,United States of America,Belle Glade,98,3,8,12,98,26.6916,-80.6656
RUS,Russian Federation,Belovo,36,1,36,0,32,54.4167,86.3
USA,United States of America,Bentonville,88,1,23,4,88,36.3547,-94.2305
THA,Thailand,Betong,51,1,32,0,51,5.7731,101.0725
DEU,Germany,Bexbach,51,1,29,3,51,49.3494,7.2594
CAF,Central African Republic,Birao,60,2,7,0,60,10.294,22.782
GBR,United Kingdom of Great Britain and Northern Ireland,Blyth,31,1,31,2,21,55.126,-1.514
BEL,Belgium,Bonheiden,42,1,28,4,42,51.0333,4.5333
USA,United States of America,Bradley,41,1,30,7,41,41.1641,-87.8452
CMR,Cameroon,Buea,89,3,20,1,89,4.1667,9.2333
IND,India,Buguda,166,1,40,0,166,19.8081,84.7908
GBR,United Kingdom of Great Britain and Northern Ireland,Burgess Hill,52,1,29,5,52,50.9535,-0.1262
ITA,Italy,Busto Arsizio,105,1,38,3,105,45.612,8.8518
ITA,Italy,Caltagirone,58,2,35,3,58,37.2375,14.5125
ITA,Italy,Calvizzano,40,2,34,7,40,40.9,14.1833
USA,United States of America,Canton,50,1,20,3,50,40.8078,-81.3676
USA,United States of America,Canton,50,1,20,3,50,34.2467,-84.4897
USA,United States of America,Canton,50,1,20,3,50,42.175,-71.1264
USA,United States of America,Canton,50,1,20,3,50,40.5632,-90.0409
USA,United States of America,Canton,50,1,20,3,50,44.5802,-75.1978
USA,United States of America,Canton,50,1,20,3,50,32.5975,-90.0317
USA,United States of America,Canton,50,1,20,3,50,41.86,-72.9083
ITA,Italy,Carini,49,1,49,2,29,38.1333,13.1833
GBR,United Kingdom of Great Britain and Northern Ireland,Carluke,31,1,15,8,31,55.734,-3.834
ITA,Italy,Cerignola,41,2,39,7,41,41.2667,15.9
ITA,Italy,Villa San Giovanni,73,1,37,2,73,38.2167,15.6333
COL,Colombia,Villanueva,44,1,12,1,44,15.3167,-88.0167
COL,Colombia,Villanueva,44,1,12,1,44,22.3536,-102.8831
COL,Colombia,Villanueva,44,1,12,1,44,8.5833,124.7833
COL,Colombia,Villanueva,44,1,12,1,44,12.9647,-86.815
COL,Colombia,Villanueva,44,1,12,1,44,4.6087,-72.9288
COL,Colombia,Villanueva,44,1,12,1,44,10.4456,-75.2761
COL,Colombia,Villanueva,44,1,12,1,44,10.6,-72.9833
ESP,Spain,Villena,29,1,29,1,22,38.635,-0.8658
GBR,United Kingdom of Great Britain and Northern Ireland,Walkden,32,1,30,3,32,53.5239,-2.3991
BEL,Belgium,Wemmel,44,1,27,4,44,50.9167,4.3
GBR,United Kingdom of Great Britain and Northern Ireland,Whitstable,50,0,37,1,50,51.361,1.026
USA,United States of America,Wichita Falls,64,1,29,1,64,33.9072,-98.5291
DEU,Germany,Wickede,52,0,31,2,52,51.4964,7.8658
BEL,Belgium,Wingene,40,1,32,3,40,51.05,3.2667
NLD,Netherlands,Winsum,37,0,37,0,32,53.3312,6.5157
USA,United States of America,Winter Garden,68,1,14,13,68,28.5421,-81.5967
GBR,United Kingdom of Great Britain and Northern Ireland,Wokingham,51,1,26,6,51,51.41,-0.84
USA,United States of America,Woodridge,57,2,29,12,57,41.737,-88.0409
UKR,Ukraine,Yakymivka,40,1,40,0,15,46.6977,35.1554
JPN,Japan,Yanai,45,1,45,1,42,33.9667,132.1167
JPN,Japan,Yokkaichi,44,1,44,1,16,34.965,136.6244
PER,Peru,Yurimaguas,32,1,1,0,32,-5.9,-76.0833
IRN,Iran (Islamic Republic of),Zarand,152,0,42,0,152,30.8128,56.5639
CHN,China,Zigong,146,5,69,8,146,29.3498,104.7645
CHE,Switzerland,Zofingen,98,1,28,2,98,47.2833,7.9333
SRB,Serbia,Zrenjanin,87,1,40,3,87,45.3833,20.3894
CAN,Canada,Charlottetown,25,1,25,1,22,46.2403,-63.1347
FRA,France,Chelles,59,1,19,6,59,48.8833,2.6
RUS,Russian Federation,Chernogolovka,59,1,20,13,59,56.0,38.3667
COL,Colombia,Chimichagua,44,1,9,1,44,9.25,-73.8167
ZMB,Zambia,Chipata,29,0,19,0,29,-13.6453,32.6464
GBR,United Kingdom of Great Britain and Northern Ireland,Chippenham,50,1,20,5,50,51.459,-2.116
POL,Poland,Ciechocinek,35,0,35,0,32,52.8833,18.7833
USA,United States of America,Clive,55,1,26,6,55,41.6147,-93.798
ROU,Romania,Codlea,58,1,39,0,58,45.6969,25.4439
BRA,Brazil,Colina,37,1,11,1,37,-33.2017,-70.6703
BRA,Brazil,Colina,37,1,11,1,37,-20.7136,-48.5411
USA,United States of America,Columbus,51,1,26,4,51,39.9862,-82.9855
USA,United States of America,Columbus,51,1,26,4,51,32.51,-84.8771
USA,United States of America,Columbus,51,1,26,4,51,39.2093,-85.9183
USA,United States of America,Columbus,51,1,26,4,51,41.4366,-97.3565
USA,United States of America,Columbus,51,1,26,4,51,33.5088,-88.4096
GBR,United Kingdom of Great Britain and Northern Ireland,Congleton,44,1,29,4,44,53.162,-2.217
USA,United States of America,Coon Rapids,54,1,31,10,54,45.1755,-93.3094
USA,United States of America,Corsicana,47,1,18,4,47,32.0824,-96.4665
GTM,Guatemala,Cubulco,77,2,9,6,77,15.1083,-90.6306
PHL,Philippines,Taytay,65,1,23,1,65,14.5692,121.1325
PHL,Philippines,Taytay,65,1,23,1,65,10.8167,119.5167
GBR,United Kingdom of Great Britain and Northern Ireland,Telford,56,1,26,5,56,52.6766,-2.4469
MEX,Mexico,Temascalcingo,50,1,13,2,50,19.9147,-100.0036
SRB,Serbia,Temerin,80,1,40,2,80,45.4167,19.8833
BGR,Bulgaria,Teteven,65,1,40,1,65,42.9167,24.2667
NLD,Netherlands,Tholen,34,1,32,2,34,51.5333,4.2
NIC,Nicaragua,Ticuantepe,34,1,16,3,34,12.0231,-86.2064
IDN,Indonesia,Tomohon,24,1,16,0,24,1.3244,124.8225
BEL,Belgium,Tongeren,46,1,24,4,46,50.7794,5.4631
CHN,China,Tongzhou,198,5,198,6,157,25.7716,106.973
FRA,France,Torcy,57,1,20,6,57,48.8502,2.6508
DEU,Germany,Torgelow,34,0,34,1,32,53.6167,14.0
PRT,Portugal,Torres Novas,30,0,30,1,23,39.4667,-8.5333
JPN,Japan,Tosu,48,1,48,0,39,33.3833,130.5
USA,United States of America,Tulare,55,2,17,11,55,36.1995,-119.34
BOL,Bolivia (Plurinational State of),Tupiza,14,0,14,0,10,-21.4375,-65.7158
IND,India,Udaipur,70,3,36,2,70,24.58,73.68
