country_code,year,obs_value
DEU,2016,7.006
DEU,2017,6.777
DEU,2018,6.777
DEU,2019,6.821
EST,2010,5.434
EST,2011,5.2
EST,2012,4.705
EST,2013,3.994
EST,2014,3.532
EST,2015,2.988
EST,2016,2.58
EST,2017,2.321
EST,2018,2.348
EST,2019,2.466
FIN,2010,2.792
FIN,2011,2.624
FIN,2012,2.335
FIN,2013,1.99
FIN,2014,1.663
FIN,2015,1.42
FIN,2016,1.266
FIN,2017,1.193
FIN,2018,1.258
FIN,2019,1.448
ISR,2010,7.098
ISR,2011,7.061
ISR,2012,6.891
ISR,2013,6.698
ISR,2014,6.478
ISR,2015,6.378
ISR,2016,5.992
ISR,2017,5.738
ISR,2018,5.759
DNK,2010,7.023
DNK,2011,6.559
DNK,2012,5.94
DNK,2013,5.306
DNK,2014,4.765
DNK,2015,4.538
DNK,2016,4.631
DNK,2017,4.724
DNK,2018,4.685
DNK,2019,4.499
CHL,2010,6.758
CHL,2011,6.836
CHL,2012,7.006
CHL,2013,7.246
CHL,2014,7.385
CHL,2015,7.432
CHL,2016,7.123
CHL,2017,7.04
CHL,2018,7.161
CHL,2019,7.423
ISL,2010,1.461
ISL,2011,1.397
ISL,2012,1.315
ISL,2013,1.207
ISL,2014,1.096
ISL,2015,1.051
ISL,2016,1.026
ISL,2017,1.027
ISL,2018,1.033
ISL,2019,1.04
IRL,2010,3.327
IRL,2011,3.283
IRL,2012,3.124
IRL,2013,2.939
IRL,2014,2.729
IRL,2015,2.558
IRL,2016,2.307
IRL,2017,2.175
IRL,2018,2.214
IRL,2019,2.339
BEL,2010,8.961
BEL,2011,8.656
BEL,2012,8.161
BEL,2013,7.479
BEL,2014,6.77
BEL,2015,6.452
BEL,2016,6.22
BEL,2017,6.18
BEL,2018,6.157
BEL,2019,6.189
CAN,2010,2.6
CAN,2011,2.459
CAN,2012,2.357
CAN,2013,2.264
CAN,2014,2.208
CAN,2015,2.179
CAN,2016,2.219
CAN,2017,2.251
CAN,2018,2.282
CAN,2019,2.234
BMU,2010,2.559
BMU,2011,2.585
UKR,2010,25.689
UKR,2011,24.484
UKR,2012,24.091
UKR,2013,23.436
UKR,2014,21.5
UKR,2015,25.369
UKR,2016,22.812
UKR,2017,21.257
UKR,2018,21.685
UKR,2019,21.685
AUT,2017,5.305
AUT,2018,5.295
AUT,2019,5.423
LUX,2010,5.493
LUX,2011,5.257
LUX,2012,4.909
LUX,2013,4.502
LUX,2014,4.089
MEX,2010,7.279
MEX,2011,7.261
MEX,2012,7.406
MEX,2013,7.78
NZL,2011,1.481
NZL,2012,1.427
NZL,2013,1.367
NZL,2014,1.346
NZL,2015,1.297
NZL,2016,1.276
NZL,2017,1.287
NZL,2018,1.345
NZL,2019,1.39
PRT,2016,4.168
PRT,2017,4.082
PRT,2018,4.03
PRT,2019,4.023
SVN,2013,8.995
SVN,2014,8.412
SVN,2015,8.641
SVN,2016,8.25
SVN,2017,8.151
SVN,2018,8.299
SVN,2019,8.552
AZE,2019,22.382
BGD,2010,10.718
BGD,2011,10.933
BGD,2012,11.42
BGD,2013,12.075
BGD,2014,12.682
BLR,2012,26.477
BLR,2013,24.973
BLR,2014,23.513
BLR,2015,21.797
BLR,2016,20.171
BLR,2017,19.329
BLR,2018,19.15
BLR,2019,19.269
BEN,2018,10.324
BEN,2019,10.549
BOL,2010,11.455
BOL,2011,11.294
BOL,2012,11.101
BOL,2013,10.929
BGR,2010,30.909
BGR,2011,30.093
BGR,2012,28.826
BGR,2013,27.805
BGR,2014,28.096
BGR,2015,27.482
BGR,2016,27.296
BDI,2010,4.394
BDI,2011,4.415
BDI,2012,4.562
BDI,2013,4.707
KHM,2010,7.688
COM,2014,4.71
COM,2015,4.569
COM,2016,4.339
COM,2017,4.152
COM,2018,4.036
COM,2019,4.101
DMA,2016,11.35
DMA,2017,11.138
DMA,2018,11.306
DMA,2019,11.655
ECU,2013,7.26
ECU,2014,7.155
ECU,2015,7.087
ECU,2016,6.945
ECU,2017,6.8
ECU,2018,6.811
ECU,2019,6.987
FJI,2010,9.832
FJI,2011,9.975
FJI,2012,10.151
GMB,2011,7.677
GMB,2012,7.863
GMB,2013,8.094
GMB,2014,8.572
GMB,2015,8.399
GMB,2016,8.565
GMB,2017,8.721
GMB,2018,8.41
GMB,2019,8.169
GRL,2010,2.693
GRL,2011,2.687
GRL,2012,2.7
GRL,2013,2.737
GRL,2014,2.773
GRL,2015,2.809
GRL,2016,2.986
GRL,2017,3.149
GRL,2018,3.161
GRL,2019,3.073
GUY,2013,16.758
GUY,2014,17.39
GUY,2015,17.428
GUY,2016,17.162
GUY,2017,16.858
GUY,2018,16.69
GUY,2019,16.382
JAM,2013,7.006
JAM,2014,7.757
JAM,2015,7.938
JAM,2016,7.948
JAM,2017,7.968
JAM,2018,8.04
JAM,2019,8.173
KGZ,2010,13.112
KGZ,2011,12.955
KGZ,2012,12.956
LBN,2010,16.057
LBN,2011,15.559
LBN,2012,15.123
LBN,2013,14.653
LBN,2014,14.094
LBN,2015,13.494
LBN,2016,13.136
LBN,2017,12.783
LBN,2018,12.749
LBN,2019,12.75
LBR,2010,5.657
LBR,2011,5.811
LBR,2012,6.351
LBR,2013,6.781
LBR,2014,6.903
LBR,2015,6.774
LBR,2016,6.269
LBR,2017,5.716
MDV,2011,3.493
MDV,2012,3.234
MDV,2013,2.968
MDV,2014,2.758
MDV,2015,2.652
MDV,2016,2.861
MDV,2017,3.061
MDV,2018,3.072
MDV,2019,3.072
VIR,2010,5.929
VIR,2011,6.118
VIR,2012,6.363
VIR,2013,6.599
ARE,2010,8.301
ARE,2011,8.931
ARE,2012,9.644
ARE,2013,10.434
ARE,2014,11.089
ARE,2015,11.851
ARE,2016,12.465
ARE,2017,13.111
ARE,2018,13.864
ARE,2019,14.655
AUT,2010,7.717
AUT,2011,7.469
AUT,2012,7.203
AUT,2013,6.894
AUT,2014,6.547
AUT,2015,6.266
AUT,2016,5.7
LTU,2010,14.773
LTU,2011,14.447
LTU,2012,13.791
LTU,2013,13.197
LTU,2014,11.937
LTU,2015,11.337
LUX,2015,3.739
LUX,2016,3.408
LUX,2017,3.302
LUX,2018,3.356
LUX,2019,3.512
NLD,2012,6.761
NLD,2013,6.261
NLD,2014,5.789
NLD,2015,5.63
NLD,2016,5.613
NLD,2017,5.639
NLD,2018,5.633
NLD,2019,5.593
POL,2017,16.077
POL,2018,16.24
POL,2019,16.348
SVN,2010,9.575
SVN,2011,9.293
SVN,2012,9.248
GBR,2016,4.634
GBR,2017,4.62
GBR,2018,4.664
GBR,2019,4.616
ARG,2010,6.75
ARG,2011,6.787
BHR,2010,11.685
BHR,2011,11.877
BHR,2012,12.054
BHR,2013,12.245
BHR,2014,12.523
BHR,2015,12.925
BOL,2014,10.715
BOL,2015,10.517
BOL,2016,10.434
BOL,2017,10.464
BOL,2018,10.41
BOL,2019,10.422
BRA,2010,6.811
BGR,2017,27.131
BGR,2018,27.323
BGR,2019,27.348
BDI,2014,4.708
BDI,2015,4.534
BDI,2016,4.188
BDI,2017,3.971
BDI,2018,4.031
BDI,2019,4.058
KHM,2011,7.481
KHM,2012,7.352
KHM,2013,7.184
KHM,2014,7.088
KHM,2015,6.964
KHM,2016,6.811
KHM,2017,6.672
KHM,2018,6.754
KHM,2019,7.019
CAF,2010,10.391
CAF,2011,10.653
CAF,2012,10.886
CAF,2013,11.256
CAF,2014,11.431
CAF,2015,11.399
CAF,2016,10.86
CAF,2017,10.397
COD,2015,6.122
COD,2016,5.74
COD,2017,5.416
COD,2018,5.405
COD,2019,5.463
ECU,2010,7.572
ECU,2011,7.293
ECU,2012,7.32
SLV,2010,5.661
ERI,2010,16.141
ERI,2011,16.105
ERI,2012,16.13
ERI,2013,16.301
ERI,2014,16.413
ERI,2015,16.473
ERI,2016,16.797
ERI,2017,17.092
ETH,2015,3.728
ETH,2016,3.692
ETH,2017,3.703
ETH,2018,3.689
ETH,2019,3.673
GMB,2010,8.102
GHA,2017,16.789
GHA,2018,16.182
GHA,2019,15.982
GUM,2017,5.275
GUM,2018,5.377
GUM,2019,5.865
GIN,2016,10.603
GIN,2017,10.207
GIN,2018,9.979
GIN,2019,9.693
IRQ,2014,22.9
IRQ,2015,22.217
IRQ,2016,21.548
IRQ,2017,20.951
IRQ,2018,20.668
IRQ,2019,20.525
JOR,2010,10.322
KAZ,2010,17.386
KAZ,2011,17.134
KAZ,2012,16.92
KAZ,2013,16.49
KAZ,2014,16.009
KAZ,2015,15.604
KAZ,2016,15.102
KAZ,2017,14.57
KAZ,2018,14.607
KIR,2010,5.075
KIR,2011,5.018
KIR,2012,4.957
KIR,2013,4.9
KIR,2014,4.854
KIR,2015,4.829
KGZ,2013,12.96
KGZ,2014,12.835
KGZ,2015,12.561
KGZ,2016,11.664
KGZ,2017,11.336
KGZ,2018,11.304
KGZ,2019,11.473
MWI,2010,4.211
MWI,2011,4.316
MWI,2012,4.37
MWI,2013,4.383
JPN,2010,4.891
JPN,2011,5.042
JPN,2012,5.249
JPN,2013,5.512
JPN,2014,5.726
JPN,2015,5.835
JPN,2016,5.896
JPN,2017,5.897
JPN,2018,5.988
JPN,2019,6.07
SWE,2010,2.632
SWE,2011,2.478
SWE,2012,2.197
SWE,2013,1.874
SWE,2014,1.586
SWE,2015,1.434
SWE,2016,1.375
SWE,2017,1.342
SWE,2018,1.327
SWE,2019,1.309
CHE,2018,3.226
CHE,2019,3.286
GBR,2010,6.165
GBR,2011,5.836
GBR,2012,5.486
GBR,2013,5.164
GBR,2014,4.838
GBR,2015,4.697
ASM,2012,3.8
ASM,2013,3.917
ASM,2014,4.033
ASM,2015,4.159
ASM,2016,4.379
ASM,2017,4.564
ASM,2018,4.617
ASM,2019,4.617
AGO,2016,8.135
AGO,2017,8.113
AGO,2018,8.242
AGO,2019,8.483
ATG,2010,7.421
ATG,2011,7.527
ATG,2012,7.639
ARG,2012,6.823
ARG,2013,6.905
ARG,2014,6.911
ARG,2015,6.965
ARG,2016,6.936
ARG,2017,6.703
ARG,2018,6.616
ARG,2019,6.62
ARM,2011,27.337
ARM,2012,26.809
ARM,2013,25.959
ARM,2014,25.771
ARM,2015,26.0
ARM,2016,25.247
ARM,2017,24.585
ARM,2018,24.243
ARM,2019,24.014
BHS,2017,7.545
BHS,2018,7.705
BHS,2019,7.914
BHR,2016,12.835
BHR,2017,12.887
BHR,2018,13.049
BHR,2019,13.339
BWA,2012,16.543
BWA,2013,16.565
BWA,2014,16.563
BWA,2015,16.491
BWA,2016,15.898
BWA,2017,15.528
BWA,2018,15.455
BWA,2019,15.537
CIV,2010,14.115
HRV,2010,17.995
HRV,2011,17.502
HRV,2012,17.181
HRV,2013,16.399
HRV,2014,16.313
HRV,2015,16.645
HRV,2016,15.194
HRV,2017,14.883
HRV,2018,15.011
CYP,2010,8.81
CYP,2011,8.512
PRK,2012,17.942
PRK,2013,19.131
PRK,2014,20.062
PRK,2015,20.433
PRK,2016,20.118
PRK,2017,19.852
PRK,2018,20.264
PRK,2019,21.252
DJI,2010,21.831
DJI,2011,21.981
DJI,2012,22.205
EGY,2010,33.63
EGY,2011,32.678
EGY,2012,32.125
SWZ,2016,11.586
SWZ,2017,11.523
SWZ,2018,11.51
SWZ,2019,11.579
GEO,2010,19.473
GEO,2011,18.997
GEO,2012,18.169
GEO,2013,17.499
GEO,2014,17.153
GEO,2015,17.093
GEO,2016,17.636
GEO,2017,17.665
GEO,2018,17.667
JAM,2010,6.645
JAM,2011,7.12
JAM,2012,6.797
KEN,2018,4.661
KEN,2019,4.333
LBR,2018,5.64
LBR,2019,5.874
MDG,2015,4.11
MDG,2016,3.932
MDG,2017,3.772
MDG,2018,3.738
MDG,2019,3.798
MDV,2010,3.691
SUR,2010,12.522
SUR,2011,12.681
SUR,2012,13.086
SUR,2013,14.053
SUR,2014,14.89
SUR,2015,15.594
SUR,2016,15.138
SUR,2017,14.392
SUR,2018,14.073
SUR,2019,13.83
KOR,2010,7.856
KOR,2011,7.936
KOR,2012,8.202
KOR,2013,8.468
KOR,2014,8.675
KOR,2015,8.793
KOR,2016,8.789
KOR,2017,9.054
KOR,2018,9.43
KOR,2019,9.951
SYR,2010,14.637
SYR,2011,15.343
SYR,2012,15.734
SYR,2013,16.075
SYR,2014,16.457
SYR,2015,16.832
SYR,2016,16.582
SYR,2017,16.502
SYR,2018,16.741
SYR,2019,17.091
SOM,2010,3.146
SOM,2011,3.107
SOM,2012,3.054
SOM,2013,3.005
SOM,2014,2.949
SOM,2015,2.907
SOM,2016,2.967
SOM,2017,2.968
SOM,2018,2.987
SOM,2019,2.98
SYC,2010,9.418
SYC,2011,9.427
SYC,2012,9.562
SYC,2013,9.624
SYC,2014,9.799
SYC,2015,10.104
SYC,2016,10.627
SYC,2017,11.004
SYC,2018,11.152
SYC,2019,11.209
LKA,2010,9.377
LKA,2011,9.457
LKA,2012,9.172
LKA,2013,8.672
LKA,2014,8.541
LKA,2015,8.37
LKA,2016,8.662
LKA,2017,9.054
LKA,2018,9.196
LKA,2019,9.448
SLE,2010,9.535
SLE,2011,9.655
SLE,2012,10.144
SLE,2013,10.652
SLE,2014,10.997
SLE,2015,10.83
SLE,2016,10.349
SLE,2017,9.986
SLE,2018,9.95
SLE,2019,10.124
SDN,2010,12.415
SDN,2011,12.473
SDN,2012,12.644
SDN,2013,12.728
SDN,2014,12.974
SDN,2015,13.156
SDN,2016,13.405
SDN,2017,13.68
SDN,2018,13.951
SDN,2019,14.288
SSD,2010,9.138
SSD,2011,9.183
SSD,2012,9.241
SSD,2013,9.284
SSD,2014,9.096
SSD,2015,8.568
SSD,2016,7.94
SSD,2017,7.455
SSD,2018,7.349
SSD,2019,7.351
SGP,2010,4.76
SGP,2011,4.813
SGP,2012,5.063
SGP,2013,5.322
SGP,2014,5.545
SGP,2015,5.672
SGP,2016,5.673
SGP,2017,5.634
SGP,2018,5.822
SGP,2019,6.029
SEN,2012,9.568
SEN,2013,9.786
SEN,2014,10.314
SEN,2015,10.346
SEN,2016,10.29
SEN,2017,9.983
SEN,2018,9.395
SEN,2019,9.075
SRB,2010,30.136
SRB,2011,29.417
SRB,2012,28.552
SRB,2013,27.768
SRB,2014,27.341
SRB,2015,27.023
SRB,2016,25.787
SRB,2017,25.513
SRB,2018,25.429
SRB,2019,25.353
SLB,2010,4.791
SLB,2011,4.976
SLB,2012,5.097
SLB,2013,5.239
SLB,2014,5.37
SLB,2015,5.461
SLB,2016,5.442
SLB,2017,5.481
SLB,2018,5.663
SLB,2019,5.912
ZAF,2010,18.399
ZAF,2011,17.669
ZAF,2012,17.165
ZAF,2013,16.784
ZAF,2014,16.753
ZAF,2015,16.525
ZAF,2016,15.99
ZAF,2017,15.553
ZAF,2018,14.773
ZAF,2019,14.412
TUV,2010,5.157
TUV,2011,5.149
TUV,2012,5.15
TUV,2013,5.154
TUV,2014,5.175
TUV,2015,5.206
TUV,2016,5.415
TUV,2017,5.614
TUV,2018,5.644
TUV,2019,5.624
TGO,2010,8.569
TGO,2011,8.769
TGO,2012,9.102
TGO,2013,9.438
TGO,2014,9.707
TGO,2015,9.683
TGO,2016,9.397
TGO,2017,9.083
TGO,2018,8.879
TGO,2019,8.946
TZA,2010,6.041
TZA,2011,6.076
TZA,2012,6.224
TZA,2013,6.226
TZA,2014,6.052
TZA,2015,6.064
TZA,2016,5.768
TZA,2017,5.459
TZA,2018,5.284
TZA,2019,5.267
TLS,2010,4.641
TLS,2011,4.819
TLS,2012,4.957
TLS,2013,5.022
TLS,2014,5.134
TLS,2015,5.286
TLS,2016,5.378
TLS,2017,5.385
TLS,2018,5.41
TLS,2019,5.433
TTO,2010,14.249
TTO,2011,14.211
TTO,2012,14.192
TTO,2013,14.974
TTO,2014,15.644
TTO,2015,16.154
TTO,2016,16.382
TTO,2017,16.403
TTO,2018,16.798
TTO,2019,17.438
TUN,2010,17.084
TUN,2011,17.066
TUN,2012,16.859
TUN,2013,16.705
TUN,2014,16.511
TUN,2015,16.374
TUN,2016,16.219
TUN,2017,16.165
TUN,2018,16.311
TUN,2019,16.573
THA,2010,12.038
THA,2011,11.944
THA,2012,11.731
THA,2013,11.385
THA,2014,11.284
THA,2015,11.288
THA,2016,11.636
THA,2017,11.818
THA,2018,12.217
THA,2019,12.768
UGA,2010,5.871
UGA,2011,6.07
UGA,2012,6.376
UGA,2013,6.862
UGA,2014,7.122
UGA,2015,6.859
UGA,2016,6.732
UGA,2017,5.993
UGA,2018,5.652
UGA,2019,5.302
TKM,2010,19.881
TKM,2011,20.178
TKM,2012,20.368
TKM,2013,20.928
TKM,2014,21.233
TKM,2015,21.184
TKM,2016,20.596
TKM,2017,19.858
TKM,2018,19.521
TKM,2019,19.159
TJK,2010,15.831
TJK,2011,16.258
TJK,2012,16.748
TJK,2013,17.208
TJK,2014,17.851
TJK,2015,18.166
TJK,2016,18.233
TJK,2017,18.181
TJK,2018,17.793
TJK,2019,17.65
TON,2010,4.953
TON,2011,5.019
TON,2012,5.079
TON,2013,5.151
TON,2014,5.226
TON,2015,5.314
TON,2016,5.417
TON,2017,5.51
TON,2018,5.505
TON,2019,5.47
MLI,2010,9.447
MLI,2011,9.451
MLI,2012,9.686
MLI,2013,9.941
MLI,2014,10.135
MLI,2015,10.282
MLI,2016,10.506
MLI,2017,10.402
MLI,2018,10.209
MLI,2019,10.135
ARM,2010,27.503
IDN,2010,11.538
IDN,2011,11.516
IDN,2012,11.591
IDN,2013,11.642
IDN,2014,11.633
IDN,2015,11.664
IRN,2010,15.408
IRN,2011,15.225
IRN,2012,15.199
IRN,2013,15.28
IRN,2014,15.269
BWA,2010,16.328
BWA,2011,16.528
CHN,2010,20.568
CHN,2011,21.147
CHN,2012,21.621
CHN,2013,22.063
CHN,2014,22.376
IRQ,2010,26.864
IRQ,2011,25.852
IRQ,2012,24.792
IRQ,2013,23.772
ESP,2010,4.899
ESP,2011,4.799
GHA,2010,14.568
GHA,2011,14.852
GHA,2012,15.259
GHA,2013,15.831
GHA,2014,16.422
GHA,2015,16.847
GHA,2016,16.895
PRT,2010,5.227
PRT,2011,5.023
PRT,2012,4.831
PRT,2013,4.634
PRT,2014,4.438
PRT,2015,4.269
GUY,2010,15.953
GUY,2011,16.093
GUY,2012,16.595
GIN,2010,10.072
GIN,2011,10.037
GIN,2012,10.078
GIN,2013,10.445
GIN,2014,10.665
GIN,2015,10.786
AFG,2011,9.235
AFG,2012,9.973
AFG,2013,10.839
AFG,2014,11.29
AFG,2015,11.242
AFG,2016,10.981
AFG,2017,10.707
AFG,2018,10.692
AFG,2019,11.08
CYP,2012,8.286
CYP,2013,8.159
CYP,2014,8.069
CYP,2015,7.941
CYP,2016,7.429
CYP,2017,7.121
CYP,2018,7.327
CYP,2019,7.718
ISR,2019,5.8
NOR,2019,1.599
BRN,2019,3.117
CAF,2018,10.301
CAF,2019,10.524
POL,2010,18.557
POL,2011,18.163
POL,2012,17.737
POL,2013,16.878
POL,2014,15.898
POL,2015,15.956
POL,2016,15.865
GUM,2010,4.127
GUM,2011,4.427
GUM,2012,5.18
GUM,2013,6.142
GUM,2014,7.012
GUM,2015,7.459
GUM,2016,6.37
AGO,2010,7.615
AGO,2011,7.669
AGO,2012,7.869
AGO,2013,8.035
AGO,2014,8.123
AGO,2015,8.217
HRV,2019,15.355
ALB,2010,9.932
ALB,2011,10.204
ALB,2012,10.303
ALB,2013,10.413
ALB,2014,10.628
ALB,2015,10.867
ALB,2016,10.954
ALB,2017,11.043
ALB,2018,11.14
ALB,2019,11.258
DZA,2010,14.68
DZA,2011,14.683
DZA,2012,14.775
DZA,2013,14.971
DZA,2014,15.191
DZA,2015,15.274
DZA,2016,15.071
DZA,2017,14.9
ITA,2010,9.759
ITA,2011,9.573
ITA,2012,9.296
ITA,2013,8.885
ITA,2014,8.511
ITA,2015,8.386
ITA,2016,7.758
ITA,2017,7.484
ITA,2018,7.589
ITA,2019,7.713
SMR,2010,2.854
SMR,2011,2.908
SMR,2012,3.036
SMR,2013,3.191
SMR,2014,3.336
SMR,2015,3.42
SMR,2016,3.405
SMR,2017,3.391
SMR,2018,3.439
SMR,2019,3.519
KNA,2010,4.352
KNA,2011,4.441
KNA,2012,4.592
KNA,2013,4.783
KNA,2014,4.983
KNA,2015,5.131
KNA,2016,5.189
KNA,2017,5.274
KNA,2018,5.508
KNA,2019,6.164
PRI,2010,2.474
PRI,2011,2.653
PRI,2012,2.646
PRI,2013,2.776
PRI,2014,2.831
PRI,2015,2.815
PRI,2016,3.02
PRI,2017,3.199
PRI,2018,3.417
PRI,2019,3.667
QAT,2010,9.09
QAT,2011,8.891
QAT,2012,8.799
QAT,2013,8.75
QAT,2014,8.621
QAT,2015,8.46
QAT,2016,8.387
QAT,2017,8.361
QAT,2018,8.576
QAT,2019,8.833
WSM,2010,5.053
WSM,2011,5.076
WSM,2012,5.123
WSM,2013,5.178
WSM,2014,5.256
WSM,2015,5.349
WSM,2016,5.507
WSM,2017,5.712
WSM,2018,5.936
WSM,2019,6.158
LCA,2010,8.8
LCA,2011,9.056
LCA,2012,9.462
LCA,2013,10.094
LCA,2014,10.615
LCA,2015,11.029
LCA,2016,11.436
LCA,2017,11.447
LCA,2018,11.749
LCA,2019,12.17
VCT,2010,11.64
VCT,2011,12.171
VCT,2012,12.844
VCT,2013,13.528
VCT,2014,14.12
VCT,2015,14.37
VCT,2016,14.263
VCT,2017,14.202
VCT,2018,14.457
VCT,2019,14.909
RWA,2010,6.113
RWA,2011,6.097
RWA,2012,6.297
RWA,2013,5.985
RWA,2014,6.152
RWA,2015,6.164
RWA,2016,5.972
RWA,2017,5.747
RWA,2018,5.811
RWA,2019,5.993
RUS,2010,20.413
RUS,2011,18.625
RUS,2012,17.462
RUS,2013,16.171
RUS,2014,15.406
RUS,2015,14.233
RUS,2016,12.857
RUS,2017,11.394
RUS,2018,11.329
RUS,2019,11.583
ROU,2010,19.321
ROU,2011,17.969
ROU,2012,17.552
ROU,2013,16.383
ROU,2014,16.398
ROU,2015,15.952
ROU,2016,15.778
ROU,2017,15.733
ROU,2018,15.865
ROU,2019,15.999
NER,2010,7.669
NER,2011,7.803
NER,2012,8.091
NER,2013,8.574
NER,2014,8.909
NER,2015,8.996
NER,2016,8.646
NER,2017,8.179
NER,2018,7.888
NER,2019,7.942
NPL,2010,14.249
NPL,2011,14.905
NPL,2012,15.784
NPL,2013,16.891
NPL,2014,17.539
NPL,2015,17.877
NPL,2016,17.454
NPL,2017,17.088
NPL,2018,17.243
NPL,2019,18.008
OMN,2010,13.974
OMN,2011,13.883
OMN,2012,13.704
OMN,2013,12.901
OMN,2014,12.103
OMN,2015,11.747
OMN,2016,11.587
OMN,2017,11.267
OMN,2018,10.585
OMN,2019,10.18
NGA,2010,17.737
NGA,2011,18.211
NGA,2012,19.347
NGA,2013,20.561
NGA,2014,21.378
NGA,2015,21.471
NGA,2016,20.851
NGA,2017,19.702
NGA,2018,19.185
