country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
United States of America,Tamiami,64,1,18,12,64,25.7556,-80.4016
Israel,Tamra,92,2,52,8,92,32.8536,35.1978
Philippines,Tantangan,35,1,20,0,35,6.6167,124.75
Indonesia,Tarogong,88,2,53,1,88,-7.215,107.8856
Turkey,Tatvan,45,0,45,0,43,38.5022,42.2814
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,1,24,7,58,50.9452,-2.637
China,Yuanping,143,2,35,5,143,38.7299,112.7134
China,Yuncheng,187,2,36,8,187,35.0304,110.998
Belgium,Zaventem,58,1,29,6,58,50.8833,4.4667
Belgium,Zemst,65,1,27,8,65,50.9722,4.4222
China,Zhaozhou,73,2,66,0,73,37.7527,114.7775
China,Zhongshan,98,3,33,9,98,22.5333,113.35
China,Zhongshan,98,3,33,9,98,34.943,105.8771
China,Zhuji,156,4,45,10,156,29.7169,120.2314
Mexico,Zinacantepec,163,4,8,18,163,19.2833,-99.7333
Russian Federation,Zmeinogorsk,35,1,35,0,21,51.1667,82.2
Italy,Abbiategrasso,69,1,37,4,69,45.4,8.9167
Côte d'Ivoire,Abidjan,105,4,15,4,105,5.3167,-4.0333
United States of America,Acworth,64,2,37,8,64,34.0566,-84.6716
United States of America,Adelphi,54,1,32,5,54,39.0017,-76.9649
United States of America,Alabaster,80,1,18,10,80,33.2198,-86.8225
Russian Federation,Alagir,50,1,36,1,50,43.0333,44.2333
Belgium,Alken,35,1,25,3,35,50.8761,5.3078
Canada,Alma,55,1,27,0,55,48.55,-71.65
Canada,Alma,55,1,27,0,55,43.3799,-84.6556
Papua New Guinea,Alotau,28,0,28,0,13,-10.3167,150.4333
Madagascar,Ambovombe,26,0,26,0,20,-25.1764,46.0833
China,Anqiu,107,2,107,5,86,36.3619,119.1072
Madagascar,Antalaha,22,0,22,0,20,-14.8833,50.25
United States of America,Antioch,76,3,7,25,76,37.9787,-121.796
United States of America,Antioch,76,3,7,25,76,42.4742,-88.0721
Ghana,Apam,104,2,14,1,104,5.2789,-0.7397
Russian Federation,Arkadak,28,1,28,1,15,51.9333,43.5
Russian Federation,Arsk,28,1,28,1,19,56.1,49.8833
Armenia,Ashtarak,39,1,29,1,39,40.2975,44.3617
Guatemala,Atescatempa,104,3,5,10,104,14.175,-89.7417
Italy,Atri,57,1,40,3,57,42.5833,13.9833
United Kingdom of Great Britain and Northern Ireland,Ayr,29,1,29,2,20,55.458,-4.629
United Kingdom of Great Britain and Northern Ireland,Ayr,29,1,29,2,20,-19.5744,147.4066
Netherlands,Baarn,34,0,34,1,26,52.2167,5.2833
Germany,Bad Langensalza,32,0,30,1,32,51.1081,10.6467
Pakistan,Bahawalnagar,500,1,38,1,466,29.9928,73.2536
Thailand,Ban Phai,52,0,28,0,52,16.073,102.7362
Philippines,Bangued,27,0,23,0,27,17.5965,120.6179
Germany,Bargteheide,38,0,28,2,38,53.7167,10.2667
United States of America,Bartlesville,56,1,23,6,56,36.7365,-95.9456
Pakistan,Bat Khela,117,1,117,1,78,34.62,71.97
Malaysia,Batu Gajah,92,2,57,1,92,4.4667,101.05
Italy,Castel Goffredo,124,2,32,7,124,45.2981,10.475
Italy,Catanzaro,68,2,68,6,57,38.9,16.6
Philippines,Catbalogan,68,1,26,0,68,11.7833,124.8833
Ecuador,Cayambe,39,1,4,2,39,0.0439,-78.1561
Italy,Cesenatico,38,1,36,5,38,44.2,12.3944
Argentina,Chacabuco,17,0,17,1,17,-34.6333,-60.4667
Peru,Chachapoyas,21,0,4,0,21,-6.2167,-77.85
China,Chaoyang,151,3,119,1,151,41.5757,120.4486
Russian Federation,Cherepanovo,38,1,38,0,35,54.2333,83.3667
Russian Federation,Cherkessk,49,1,40,0,49,44.2222,42.0575
Mexico,Chilpancingo,72,2,4,5,72,17.55,-99.5
United States of America,Cimarron Hills,73,1,32,2,73,38.8597,-104.6995
Brazil,Coari,46,1,2,0,46,-4.085,-63.1408
United Kingdom of Great Britain and Northern Ireland,Coatbridge,35,1,12,9,35,55.8625,-4.0266
Ireland,Cobh,24,0,24,1,16,51.851,-8.2967
Brazil,Colatina,45,1,14,2,45,-19.5389,-40.6308
Dominican Republic,Comendador,65,1,12,6,65,18.8833,-71.7
Italy,Como,112,1,34,4,112,45.8103,9.0861
Brazil,Conde,19,0,19,0,11,-11.8139,-37.6108
United Kingdom of Great Britain and Northern Ireland,Consett,31,0,31,2,22,54.85,-1.83
United States of America,Cooper City,152,4,4,19,152,26.0463,-80.2862
United States of America,Copperas Cove,31,1,21,1,31,31.1192,-97.914
