country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
Japan,Nakano,38,1,38,1,24,35.7073,139.6637
Japan,Nakano,38,1,38,1,24,36.742,138.3694
France,Nanterre,50,1,20,5,50,48.8988,2.1969
Spain,Torrelavega,33,0,33,0,21,43.3531,-4.0458
,Torrevieja,35,1,31,3,35,37.9778,-0.6833
,Trogir,43,1,43,1,35,43.5169,16.2514
Japan,Tsubata,40,1,40,0,23,36.6692,136.7288
Tunisia,Tunis,45,1,43,2,45,36.8064,10.1817
United States of America,Tustin,78,3,14,21,78,33.7311,-117.8107
Brazil,Ubaitaba,38,1,7,2,38,-14.3128,-39.3228
Brazil,Ubajara,44,1,6,2,44,-3.8544,-40.9211
Spain,Ubrique,34,1,34,3,23,36.6833,-5.45
Japan,Tomisato,41,1,41,1,34,35.7,140.5667
Czechia,Teplice,30,1,30,2,28,50.6444,13.8319
Brazil,Teresina,27,0,12,1,27,-5.0949,-42.8042
United States of America,Terryville,73,2,41,9,73,40.9093,-73.0486
Kenya,Thika,92,2,18,1,92,-1.0396,37.09
Portugal,Vila Real,36,1,23,2,36,41.2958,-7.7461
Estonia,Viljandi,45,1,31,0,45,58.3667,25.6
United States of America,Waukesha,53,2,13,14,53,43.0087,-88.2464
United States of America,Waxahachie,52,1,22,4,52,32.4035,-96.8446
Thailand,Suphan Buri,45,0,20,0,45,14.4675,100.1169
Pakistan,Swabi,197,3,197,1,130,34.1202,72.4702
Brazil,Taiobeiras,19,0,7,1,19,-15.8078,-42.2328
,Taltal,23,1,12,2,23,-25.4,-70.47
Japan,Tarui,46,1,44,3,46,35.3663,136.5379
United States of America,Hooksett,44,1,44,1,25,43.0709,-71.4365
France,Houilles,50,1,19,4,50,48.9261,2.1892
China,Huaihua,121,2,121,1,68,27.5494,109.9592
Mexico,Huejotzingo,156,2,4,12,156,19.1594,-98.4073
Japan,Ichinohe,35,1,35,1,21,40.2129,141.2954
Bulgaria,Ihtiman,77,1,42,2,77,42.4374,23.8164
Switzerland,Fribourg,31,0,31,0,28,46.8,7.15
Brazil,Frutal,41,1,5,1,41,-20.025,-48.9408
France,Gaillac,38,1,31,1,38,43.9006,1.8983
United States of America,Gallup,57,0,27,1,57,35.5182,-108.7431
Kenya,Garissa,43,1,23,0,43,-0.4569,39.6583
Indonesia,Ende,23,1,23,0,16,-8.8333,121.65
United States of America,Endwell,40,1,40,1,34,42.1184,-76.0219
Brazil,Farias Brito,24,0,12,1,24,-6.9308,-39.5658
United States of America,Federal Heights,83,3,2,17,83,39.8651,-105.0154
Austria,Feldkirchen,28,0,28,0,9,46.7236,14.0919
Germany,Finnentrop,35,1,35,1,26,51.1731,7.9725
Germany,Finsterwalde,34,1,34,1,28,51.6282,13.7102
Brazil,Floresta,23,0,13,0,23,-8.6008,-38.5678
Italy,Foligno,40,1,40,1,28,42.95,12.7
United States of America,Fort Dodge,35,1,35,4,34,42.5098,-94.1751
Russian Federation,Glazov,28,1,28,0,12,58.1333,52.6667
United States of America,Glendale Heights,81,3,6,29,81,41.9196,-88.0785
United States of America,Glenvar Heights,91,2,8,15,91,25.709,-80.3155
Italy,Grosseto,44,1,44,1,33,42.7667,11.1
Poland,Gryfice,35,0,35,0,23,53.9147,15.1986
Argentina,Gualeguay,15,0,15,1,14,-33.15,-59.3333
United States of America,Indianola,54,1,21,5,54,41.3629,-93.5652
United States of America,Indianola,54,1,21,5,54,33.4492,-90.6447
United Republic of Tanzania,Isaka,36,0,15,0,36,-21.15,47.0
Brazil,Itajobi,54,1,6,1,54,-21.3178,-49.0539
Japan,Iwamizawa,32,1,32,0,15,43.1962,141.7759
Mexico,Izamal,40,1,22,0,40,20.9314,-89.0178
Guatemala,Jacaltenango,66,2,11,5,66,15.6667,-91.7333
Brazil,Jaciara,55,1,7,0,55,-15.965,-54.9678
Papua New Guinea,Kimbe,21,0,21,0,13,-5.5575,150.155
Russian Federation,Kodinsk,56,1,23,1,56,58.6833,99.1833
India,Koppal,43,1,20,3,43,15.35,76.15
Russian Federation,Kotovo,45,1,45,0,19,50.3,44.8167
Turkey,Kozluk,62,1,43,1,62,38.1944,41.4911
Russian Federation,Krasnoyarsk,35,1,27,3,35,56.0089,92.8719
Russian Federation,Kstovo,36,1,36,3,30,56.1667,44.1667
Sweden,Kumla,41,1,41,0,12,59.1167,15.1333
Russian Federation,Kupino,27,1,27,0,26,54.3667,77.3
United States of America,La Mirada,105,3,19,24,105,33.9025,-118.0093
United States of America,Lake Oswego,74,2,24,7,74,45.4129,-122.7004
United Kingdom of Great Britain and Northern Ireland,Largs,35,1,34,1,35,55.795,-4.87
Norway,Larvik,49,1,49,0,17,59.0811,10.0164
United States of America,Lawrenceville,46,1,46,4,37,33.9523,-83.9932
France,Le Chesnay,70,1,43,2,70,48.8203,2.1303
Italy,Lecco,94,1,47,0,94,45.85,9.4
Germany,Lengede,43,1,43,0,36,52.2049,10.3078
Russian Federation,Lesnoy,41,1,41,0,39,58.6333,59.7833
Finland,Lieto,36,1,36,0,4,60.5,22.4497
France,Lillebonne,50,1,41,0,50,49.5208,0.5375
United Kingdom of Great Britain and Northern Ireland,Littlehampton,32,1,32,1,32,50.8094,-0.5409
Chile,Llaillay,207,18,2,28,207,-32.8403,-70.9483
Israel,Lod,85,1,53,4,85,31.9519,34.8881
Nigeria,Lokoja,59,1,34,0,59,7.8019,6.7442
Benin,Lokossa,47,1,28,0,47,6.6333,1.7167
Chile,Los Andes,167,9,7,14,167,-32.8333,-70.6167
United States of America,Loves Park,39,1,39,1,38,42.3364,-88.9975
United States of America,Lower Burrell,51,1,36,3,51,40.5818,-79.7141
Uganda,Lugazi,105,3,18,1,105,0.3833,32.9242
India,Lunglei,45,1,10,1,45,22.88,92.73
United States of America,Lynn,44,1,39,1,44,42.4781,-70.9664
Ecuador,Macas,7,1,7,0,7,-2.3667,-78.1333
Kenya,Machakos,71,1,17,1,71,-1.5167,37.2667
India,Baheri,162,3,162,1,160,25.9426,86.0471
Indonesia,Banda Aceh,17,0,17,0,17,5.55,95.3175
Somalia,Bandarbeyla,138,0,18,0,138,9.4833,50.8167
United Kingdom of Great Britain and Northern Ireland,Bangor,24,1,24,4,20,54.66,-5.67
United Kingdom of Great Britain and Northern Ireland,Bangor,24,1,24,4,20,44.8323,-68.7906
United Kingdom of Great Britain and Northern Ireland,Bangor,24,1,24,4,20,53.228,-4.128
Portugal,Barcelos,32,1,32,2,22,41.5167,-8.6167
Portugal,Barcelos,32,1,32,2,22,-0.975,-62.9239
India,Basi,235,1,49,0,235,30.5872,76.8428
United States of America,Bastrop,61,1,22,3,61,32.7748,-91.9078
United States of America,Bastrop,61,1,22,3,61,30.1113,-97.3176
United States of America,Bay Point,36,1,30,9,36,38.0329,-121.9615
France,Bayeux,37,1,33,2,37,-7.1333,-34.9333
France,Bayeux,37,1,33,2,37,49.2786,-0.7039
United States of America,Arvin,41,1,33,6,41,35.1944,-118.8306
United States of America,Athol,49,1,18,7,49,42.5841,-72.2177
Ecuador,Atuntaqui,46,1,6,2,46,0.3317,-78.2189
Dominican Republic,Azua,62,1,11,7,62,18.46,-70.74
Germany,Bad Bentheim,32,0,32,1,17,52.3031,7.1597
Germany,Bad Laasphe,56,1,34,2,56,50.9303,8.4167
Germany,Bad Wildbad,46,1,33,4,46,48.7503,8.5506
Brazil,Amaraji,30,0,17,2,30,-8.3758,-35.4522
Madagascar,Ambalavao,41,1,20,0,41,-21.8333,46.9333
Madagascar,Ambalavao,41,1,20,0,41,-19.1,47.5333
Madagascar,Ambilobe,23,0,23,0,18,-13.2,49.05
United States of America,American Canyon,33,1,33,5,29,38.1796,-122.2583
Netherlands,Amersfoort,30,1,30,2,17,52.15,5.3833
Netherlands,Amersfoort,30,1,30,2,17,-27.0078,29.8711
India,Anjad,163,1,33,0,163,22.0417,75.0552
Philippines,Antipolo,61,1,23,2,61,14.5842,121.1763
Brazil,Apodi,25,0,16,0,25,-5.6639,-37.7989
Brazil,Arapiraca,32,0,12,2,32,-9.7519,-36.6608
Belgium,Arendonk,32,1,30,3,32,51.3167,5.0833
Italy,Arezzo,61,1,39,3,61,43.4633,11.8783
India,Iluppur,72,1,35,0,72,10.5137,78.6216
Italy,Isernia,52,1,48,2,52,41.6028,14.2397
Russian Federation,Isilkul,50,1,31,0,50,54.95,71.25
Brazil,Ituporanga,118,5,10,2,118,-27.4139,-49.6008
Russian Federation,Ivanovo,33,1,33,0,25,57.0,41.0
,Jablah,56,1,45,0,56,35.35,35.9167
India,Jaisalmer,355,1,44,0,274,26.9167,70.9167
India,Jaynagar,100,3,100,0,75,26.5833,86.15
Brazil,Jeremoabo,15,0,15,0,13,-10.0669,-38.35
China,Jieshou,192,4,192,4,125,33.2605,115.3618
United States of America,Fort Wayne,35,1,31,4,35,41.0888,-85.1436
United States of America,Friendswood,110,1,20,4,110,29.511,-95.1981
Germany,Friesenheim,56,1,35,3,56,48.3731,7.8833
Germany,Fritzlar,53,1,38,1,53,51.1333,9.2833
Japan,Fukuchiyama,46,1,46,0,36,35.3,135.1333
Democratic Republic of the Congo,Gandajika,277,14,47,9,277,-6.75,23.9667
China,Ganzhou,128,3,128,1,77,25.8292,114.9336
United States of America,Gardendale,75,1,32,7,75,33.6677,-86.8069
Netherlands,Geldrop,31,1,31,2,31,51.4222,5.5578
United States of America,Gillette,51,1,36,0,51,44.2752,-105.4982
Italy,Gioia Tauro,47,1,43,1,47,38.4333,15.9
India,Gunupur,65,1,36,1,65,19.08,83.82
Nigeria,Gusau,53,2,26,0,53,12.15,6.6667
Germany,Haar,56,1,36,4,56,48.1,11.7333
Denmark,Haderslev,33,0,33,0,19,55.2428,9.525
Pakistan,Hangu,159,2,64,0,159,39.232,117.777
Pakistan,Hangu,159,2,64,0,159,33.5333,71.0667
Belarus,Haradok,33,1,33,0,11,55.4667,30.0
Zimbabwe,Harare,61,3,14,2,61,-17.8292,31.0522
Bulgaria,Haskovo,50,1,44,0,50,41.9333,25.5667
Netherlands,Heerlen,51,1,35,2,51,50.8833,5.9833
Germany,Hemmingen,35,0,35,1,25,52.3236,9.7256
Germany,Herne,38,1,33,2,38,51.55,7.2167
Austria,Gmunden,58,1,37,2,58,47.9181,13.7994
South Sudan,Gogrial,72,2,8,0,72,8.53,28.1
Armenia,Goris,33,1,33,0,26,39.5078,46.3386
Russian Federation,Gornyak,36,1,36,0,30,50.9833,81.4667
Spain,Grado,35,1,35,4,28,43.3881,-6.0736
Colombia,Granada,61,2,5,4,61,37.1781,-3.6008
Colombia,Granada,61,2,5,4,61,11.9347,-85.9589
Colombia,Granada,61,2,5,4,61,6.147,-75.188
Colombia,Granada,61,2,5,4,61,4.5186,-74.3514
United States of America,Greer,64,2,37,7,64,34.933,-82.2313
Belgium,Grimbergen,43,1,31,3,43,50.9333,4.3833
Brazil,Guiratinga,25,1,6,1,25,-16.3489,-53.7578
United States of America,Gulfport,72,1,31,2,72,30.4274,-89.0704
United States of America,Gulfport,72,1,31,2,72,27.7463,-82.7099
United States of America,Hilliard,47,1,47,3,19,40.0353,-83.1578
Ukraine,Hlukhiv,34,1,34,0,10,51.6765,33.9078
Ghana,Hohoe,49,1,19,0,49,7.149,0.4746
India,Holalkere,50,0,21,0,50,14.0429,76.185
United States of America,Hopewell,53,1,35,5,53,37.2915,-77.2985
United States of America,Hopewell,53,1,35,5,53,40.5906,-80.2731
United States of America,Huntley,49,1,32,7,49,42.1599,-88.433
Côte d'Ivoire,Sassandra,28,1,25,0,28,4.95,-6.0833
Mexico,Sayula,89,2,17,4,89,19.8836,-103.5972
Georgia,Senaki,33,1,33,0,26,42.2689,42.0678
Russian Federation,Severomorsk,27,1,27,0,19,69.0692,33.4167
China,Shache,244,1,41,0,244,38.4261,77.25
Poland,Siemiatycze,68,1,33,1,68,52.4272,22.8625
Finland,Sipoo,52,1,27,12,52,60.3764,25.2722
India,Sirohi,193,1,33,0,193,24.885,72.8625
Republic of North Macedonia,Skopje,56,1,39,1,56,41.9961,21.4317
Russian Federation,Slavgorod,35,1,35,0,34,52.9833,78.6667
Russian Federation,Sochi,45,1,45,0,23,43.5853,39.7203
Bulgaria,Sofia,50,1,35,2,50,42.7,23.33
United States of America,San Carlos Park,53,1,15,9,53,26.4765,-81.8193
Italy,San Giovanni Valdarno,74,1,45,1,74,43.5644,11.5328
Spain,San Roque,39,1,30,3,39,14.48,120.9011
Spain,San Roque,39,1,30,3,39,36.2097,-5.3844
Spain,San Roque,39,1,30,3,39,12.533,124.867
Spain,San Roque,39,1,30,3,39,6.4853,-75.0197
Spain,San Roque,39,1,30,3,39,-28.5667,-58.7167
Japan,Sano,32,1,32,2,15,36.3145,139.5783
Paraguay,Santa Rita,22,1,12,0,22,10.2003,-67.5514
Paraguay,Santa Rita,22,1,12,0,22,-7.1139,-34.9778
Paraguay,Santa Rita,22,1,12,0,22,14.9953,120.6153
Paraguay,Santa Rita,22,1,12,0,22,11.4522,124.9408
Paraguay,Santa Rita,22,1,12,0,22,10.5367,-71.5108
Paraguay,Santa Rita,22,1,12,0,22,14.8667,-89.1
Paraguay,Santa Rita,22,1,12,0,22,15.2,-87.8833
Romania,Seini,64,1,37,0,64,47.7478,23.2853
India,Seondha,222,1,62,0,222,26.1542,78.7812
United States of America,Fort Worth,61,1,21,4,61,32.7817,-97.3474
Serbia,Futog,74,1,40,2,74,45.2333,19.7167
India,Gangtok,31,1,28,0,31,27.33,88.62
United States of America,Gatesville,33,1,21,1,33,31.4445,-97.7317
Turkey,Gaziantep,53,1,37,0,53,37.0628,37.3792
China,Guozhen,118,2,118,1,71,34.3668,107.198
Brazil,Gurupi,35,1,10,0,35,-11.7289,-49.0689
Germany,Halle,42,1,30,2,42,51.4828,11.9697
Germany,Halle,42,1,30,2,42,50.7361,4.2372
Germany,Halle,42,1,30,2,42,52.0667,8.3667
Belgium,Hannut,48,1,24,4,48,50.6667,5.0833
Germany,Hersbruck,43,1,35,2,43,49.5081,11.4328
Belgium,Gistel,38,1,33,2,38,51.1561,2.9672
United States of America,Glen Burnie,35,1,31,7,35,39.156,-76.6071
United States of America,Godfrey,77,2,20,15,77,38.9577,-90.2156
Italy,Grammichele,58,2,37,3,58,37.2147,14.6364
United States of America,Gresham,52,1,16,11,52,45.5021,-122.4413
Cuba,Guane,46,1,29,0,46,22.2006,-84.0839
Poland,Opoczno,73,1,31,2,73,51.3772,20.2869
Mexico,Orizaba,79,2,16,8,79,18.85,-97.1
France,Orthez,43,1,43,1,34,43.4881,-0.7708
Turkey,Osmaniye,46,1,39,0,46,37.075,36.25
Ecuador,Otavalo,57,1,2,4,57,0.2303,-78.2625
Russian Federation,Otradnoye,73,1,40,5,73,59.7833,30.8167
South Africa,Oudtshoorn,66,2,6,3,66,-33.5833,22.2
Belgium,Overijse,46,1,26,4,46,50.7833,4.5333
United States of America,Owosso,42,1,33,5,42,42.9955,-84.176
New Zealand,Palmerston North,51,0,26,0,51,-40.355,175.6117
Belarus,Pastavy,35,0,35,0,32,55.1167,26.8333
United States of America,Peachtree City,71,2,19,13,71,33.3942,-84.571
Chile,Penco,82,2,14,7,82,-36.7333,-72.9833
United States of America,Pepperell,30,1,30,3,22,42.6713,-71.6043
Canada,Petawawa,29,1,23,1,29,45.9,-77.2833
Brazil,Pimenta Bueno,41,1,1,1,41,-11.6725,-61.1936
Finland,Pirkkala,29,0,29,1,5,61.4667,23.65
United States of America,Pittsfield,31,1,31,4,31,42.4517,-73.2605
France,Poissy,62,1,19,6,62,48.9294,2.0456
Italy,Pontecorvo,41,1,41,1,31,41.4626,13.6676
Italy,Portici,50,2,36,10,50,40.8197,14.3411
Nigeria,Potiskum,85,3,20,1,85,11.7104,11.08
Brazil,Prata,32,0,14,0,32,-19.3069,-48.9239
Slovenia,Ptuj,75,1,44,2,75,46.4194,15.8694
India,Pune,98,0,24,0,98,18.5203,73.8567
Costa Rica,Purral,78,2,4,13,78,9.9594,-84.0165
Kazakhstan,Qostanay,46,1,37,0,46,53.2,63.62
Germany,Quickborn,33,0,33,1,31,53.7333,9.8972
Germany,Quierschied,52,1,29,3,52,49.3167,7.05
China,Qujing,46,1,23,2,46,25.5102,103.8029
China,Quzhou,131,3,131,1,81,28.9545,118.8763
United States of America,Fort Payne,69,1,43,3,69,34.4559,-85.6965
United States of America,Fostoria,43,1,37,3,43,41.16,-83.4121
United States of America,Fruitville,47,1,22,12,47,27.3328,-82.4616
United States of America,Gantt,71,2,28,10,71,34.7837,-82.4027
Germany,Gladbeck,27,0,27,2,26,51.5667,6.9667
Italy,Gragnano,60,1,60,2,43,40.6957,14.5154
,Great Yarmouth,30,0,30,3,21,52.606,1.729
United States of America,Greensboro,60,2,22,9,60,36.0956,-79.8271
Italy,Grumo Appula,48,1,48,1,40,41.0167,16.7
Zimbabwe,Gweru,45,0,17,0,45,-19.4614,29.8022
India,Harrai,155,1,34,0,155,22.6143,79.2221
Netherlands,Heemskerk,37,0,37,0,30,52.5167,4.6667
Netherlands,Heerenveen,36,0,36,1,33,52.95,5.9333
Germany,Hemer,35,0,24,3,35,51.3833,7.7667
India,Hilsa,189,2,96,1,189,25.32,85.28
China,Huzhou,154,5,154,8,144,30.8925,120.0875
Russian Federation,Inta,25,1,25,0,13,66.0833,60.1333
Philippines,Ipil,157,1,15,0,157,7.7822,122.5867
Jordan,Irbid,85,1,46,3,85,32.55,35.85
Brazil,Itamaraju,16,0,11,1,16,-17.0389,-39.5308
,Itaparica,22,0,18,1,22,-12.8878,-38.6789
Brazil,Itapira,82,2,4,7,82,-22.4361,-46.8217
Brazil,Itu,156,4,3,11,156,-23.2642,-47.2992
United States of America,Jacksonville,57,1,18,10,57,30.3322,-81.6749
United States of America,Jacksonville,57,1,18,10,57,34.7289,-77.3941
United States of America,Jacksonville,57,1,18,10,57,34.8807,-92.1304
United States of America,Jacksonville,57,1,18,10,57,39.7292,-90.2317
United States of America,Jacksonville,57,1,18,10,57,31.9642,-95.2617
United States of America,Jacksonville,57,1,18,10,57,33.8088,-85.7545
India,Jagraon,175,4,114,9,175,30.78,75.48
United States of America,Janesville,61,2,21,8,61,42.6854,-89.0135
United States of America,Jenison,79,3,7,19,79,42.9063,-85.8269
China,Jiayuguan,174,1,49,0,174,39.8112,98.2862
Brazil,Juatuba,152,6,0,7,152,-19.9519,-44.3428
Japan,Kakegawa,63,1,63,0,34,34.7687,137.9984
Brazil,Dourados,13,1,13,0,12,-22.2208,-54.8058
Russian Federation,Dubna,29,1,29,1,22,56.7333,37.1667
India,Dumraon,219,1,93,1,219,25.5526,84.1515
Russian Federation,Dzerzhinsk,54,1,30,3,54,56.2333,43.45
Germany,Eggenfelden,53,1,29,3,53,48.4039,12.7642
United States of America,El Sobrante,59,1,24,16,59,33.8724,-117.4624
United States of America,Elmwood Park,93,3,5,30,93,41.9225,-87.8163
United States of America,Elmwood Park,93,3,5,30,93,40.9049,-74.1201
Germany,Engen,46,1,25,2,46,47.8528,8.7714
Germany,Ennepetal,29,0,26,2,29,51.2833,7.3333
Brazil,Entre Rios,21,0,15,1,21,-11.9419,-38.0839
Germany,Espelkamp,30,0,30,1,26,52.3772,8.6328
,Eureka,31,1,31,1,26,40.7943,-124.1564
,Eureka,31,1,31,1,26,38.5004,-90.6491
United States of America,Fairhope,60,1,24,4,60,30.5209,-87.8813
Sweden,Falun,28,1,28,0,13,60.6072,15.6311
China,Fengcheng,101,3,101,1,92,40.4543,124.0646
China,Fengcheng,101,3,101,1,92,37.4313,112.027
Russian Federation,Mariinskiy Posad,50,1,32,1,50,56.1,47.7167
Papua New Guinea,Mendi,11,0,11,0,5,-6.1478,143.6572
Germany,Mettmann,45,1,28,3,45,51.25,6.9667
Germany,Metzingen,67,1,27,3,67,48.5367,9.2858
Madagascar,Miandrivazo,65,2,18,0,65,-19.5239,45.4573
Portugal,Mirandela,26,1,26,1,15,41.4853,-7.1817
Mexico,Misantla,105,3,17,8,105,19.9333,-96.85
Austria,Mistelbach,68,1,38,2,68,48.5667,16.5667
Japan,Mobara,65,1,65,2,45,35.4285,140.2881
Mexico,Monclova,64,1,22,1,64,26.9103,-101.4222
United States of America,Mooresville,40,1,40,4,33,35.5847,-80.8266
United States of America,Mooresville,40,1,40,4,33,39.6022,-86.3681
Sweden,Motala,28,0,28,0,17,58.5333,15.0333
United States of America,Mount Prospect,62,2,24,18,62,42.0641,-87.9375
Russian Federation,Mtsensk,33,1,33,1,20,53.2833,36.5667
Myanmar,Mudon,50,0,21,0,50,16.2578,97.7164
Japan,Muroran,35,1,35,1,27,42.3152,140.974
India,Naini Tal,123,2,116,0,123,29.3919,79.4542
Thailand,Nakhon Nayok,59,1,30,1,59,14.2069,101.2142
Japan,Kimitsu,57,1,57,3,47,35.3304,139.9027
Guinea,Kissidougou,25,1,16,0,25,9.1905,-10.12
Russian Federation,Konstantinovsk,38,1,38,0,14,47.5667,41.0833
India,Korba,186,1,94,2,186,22.35,82.68
India,Korba,186,1,94,2,186,36.5667,10.8667
Thailand,Krabi,65,1,28,0,65,8.0592,98.9189
Sweden,Kristianstad,38,0,38,0,27,56.0337,14.1333
Cameroon,Kumbo,79,4,11,1,79,6.2,10.66
Japan,Kunitachi,49,1,49,3,43,35.6839,139.4414
Russian Federation,Kushva,58,1,30,0,58,58.2833,59.7333
Finland,Kuusankoski,29,0,29,1,5,60.9083,26.6236
,Lagos,172,7,17,9,172,6.455,3.3841
,Lagos,172,7,17,9,172,37.1028,-8.6728
United States of America,Lake Forest Park,52,2,23,12,52,47.7574,-122.2864
Peru,Lambayeque,45,0,23,0,45,-6.7,-79.9
Germany,Lebach,52,1,30,3,52,49.41,6.91
France,Les Mureaux,59,1,21,5,59,48.9875,1.9172
United States of America,Lexington Park,39,1,39,1,30,38.2528,-76.4424
China,Lianyuan,113,3,91,6,113,27.6961,111.6659
Switzerland,Liestal,93,1,26,3,93,47.4667,7.7333
Chile,Limache,164,7,3,19,164,-33.0167,-71.2667
Paraguay,Limpio,96,2,4,4,96,-25.1683,-57.4942
Germany,Lingen,36,0,34,1,36,52.5231,7.3231
Russian Federation,Livny,32,1,32,1,18,52.4239,37.5997
Italy,Locorotondo,49,1,49,3,27,40.7558,17.3264
India,Loni,249,3,141,4,249,28.75,77.28
Philippines,Los Banos,52,1,24,1,52,37.063,-120.8406
South Africa,Lydenburg,46,1,18,1,46,-25.096,30.446
United States of America,Lynn Haven,40,1,27,2,40,30.2337,-85.637
Italy,Maglie,57,1,57,1,13,40.1167,18.1333
Sierra Leone,Makeni,40,1,16,0,40,8.8817,-12.0442
Japan,Makubetsu,37,1,37,0,35,42.9085,143.3561
Togo,Mango,40,1,13,1,40,27.9914,-82.307
India,Manoharpur,177,1,71,0,177,22.3746,85.1923
Indonesia,Manokwari,10,0,10,0,10,-0.8667,134.0833
Venezuela (Bolivarian Republic of),Maracay,105,2,9,14,105,10.2469,-67.5958
Spain,Marbella,35,1,26,4,35,36.5167,-4.8833
India,Narasannapeta,150,2,28,4,150,18.4151,84.0447
India,Narasapur,118,1,22,2,118,16.4361,81.7016
United Kingdom of Great Britain and Northern Ireland,Neath,45,1,21,4,45,51.66,-3.81
Germany,Neuruppin,34,0,33,1,34,52.9331,12.8
Belgium,Nevele,41,1,30,3,41,51.0333,3.55
France,Nice,54,1,43,2,54,43.7034,7.2663
Nigeria,Nnewi,154,7,16,7,154,6.0167,6.9167
Germany,Norderstedt,33,0,33,1,31,53.7064,10.0103
Bulgaria,Nova Zagora,41,1,41,1,36,42.4911,26.0144
Brazil,Novo Hamburgo,91,2,6,10,91,-29.6778,-51.1308
Guatemala,Nuevo San Carlos,111,3,13,11,111,14.6,-91.7
Switzerland,Nyon,63,1,29,1,63,46.3833,6.2333
Mexico,Ocoyoacac,160,4,8,15,160,19.2739,-99.4606
Germany,Odenthal,47,1,25,4,47,51.0333,7.1167
United States of America,Olean,40,1,40,1,33,42.0819,-78.4321
United States of America,Jeannette,44,1,44,3,36,40.3277,-79.6139
China,Jinan,210,7,210,8,168,36.6667,116.9833
Nicaragua,Jinotega,21,1,16,1,21,13.0908,-86.0006
Czechia,Jirkov,56,1,32,4,56,50.4999,13.4478
Cuba,Jobabo,82,2,11,8,82,20.9078,-77.2831
Nepal,Jogbani,68,2,47,0,68,26.4024,87.2656
Finland,Joutseno,28,1,28,1,7,61.123,28.5015
United States of America,Junction City,85,1,28,4,85,39.0277,-96.8508
Mexico,Juventino Rosas,59,1,8,6,59,20.65,-101.0
France,Ollioules,61,1,26,6,61,43.1394,5.8469
Germany,Oranienburg,36,1,26,2,36,52.7544,13.2369
United States of America,Oroville,54,2,29,9,54,39.4999,-121.5634
France,Orvault,38,1,25,2,38,47.2717,-1.6225
France,Oullins,31,1,26,2,31,45.715,4.8083
United States of America,Ozark,78,2,9,10,78,37.0365,-93.2158
United States of America,Ozark,78,2,9,10,78,31.4508,-85.6473
United States of America,Palmetto,43,1,32,9,43,27.5251,-82.5749
Colombia,Pradera,50,1,8,3,50,3.4167,-76.1667
Bosnia and Herzegovina,Prijedor,59,1,39,0,59,44.9667,16.7
,Procida,57,1,57,1,39,40.7667,14.0333
United States of America,Provo,12,0,8,12,7,40.2457,-111.6457
Ukraine,Pryluky,60,1,35,0,60,50.6,32.4
Russian Federation,Pskov,34,1,34,0,15,57.8167,28.3333
China,Qiqihar,81,2,75,1,81,47.3398,123.9512
Morocco,Rabat,83,3,23,15,83,34.0209,-6.8416
Morocco,Rabat,83,3,23,15,83,35.8817,14.3989
Italy,Racconigi,73,2,14,7,73,44.7667,7.6833
Sri Lanka,Ratnapura,66,1,21,1,66,6.6806,80.4022
Bulgaria,Razgrad,35,1,35,1,23,43.5333,26.5167
Brazil,Recife,42,0,23,1,42,-8.05,-34.9
United Kingdom of Great Britain and Northern Ireland,Redditch,48,1,6,9,48,52.3,-1.9333
Italy,Rivoli,70,2,11,9,70,45.0697,7.5177
France,Rixheim,46,1,23,2,46,47.7486,7.4044
Italy,Roncade,52,1,45,2,52,45.6246,12.3766
Denmark,Roskilde,36,0,33,0,36,55.65,12.0833
Netherlands,Rotterdam,35,0,35,1,27,51.9167,4.5
Netherlands,Rotterdam,35,0,35,1,27,42.8133,-74.0129
South Africa,Rustenburg,248,17,1,15,248,-25.6667,27.2428
Russian Federation,Ryazhsk,43,1,32,1,43,53.7,40.05
Colombia,Sabaneta,92,3,2,8,92,6.15,-75.6
Colombia,Sabaneta,92,3,2,8,92,19.4833,-71.35
Colombia,Sabaneta,92,3,2,8,92,8.7522,-69.9325
United States of America,Saco,49,1,49,2,34,43.539,-70.4624
India,Saharsa,176,4,109,2,176,25.88,86.6
Japan,Sakado,51,1,51,0,19,35.9573,139.403
Japan,Sakura,65,1,65,1,30,35.7167,140.2167
Japan,Sakura,65,1,65,1,30,36.6853,139.9664
Romania,Salonta,74,1,25,3,74,46.8,21.65
Pakistan,Sambrial,175,3,175,1,153,32.475,74.3522
United States of America,San Bruno,66,1,29,11,66,37.6256,-122.4313
Italy,San Giustino,39,1,39,2,37,43.55,12.1833
Spain,San Javier,51,1,30,3,51,37.8037,-0.8343
Spain,San Javier,51,1,30,3,51,-35.5924,-71.7353
Spain,San Javier,51,1,30,3,51,-30.5833,-59.95
Spain,San Javier,51,1,30,3,51,-16.2748,-62.5072
China,Sanming,75,2,62,2,75,26.2658,117.6302
Philippines,Santa Catalina,78,1,16,0,78,9.3331,122.8658
Philippines,Santa Catalina,78,1,16,0,78,17.5917,120.3644
Philippines,Santa Catalina,78,1,16,0,78,10.6039,-75.2878
United States of America,Santa Clarita,81,2,30,18,81,34.4175,-118.4964
United States of America,Santa Paula,52,2,49,7,52,34.3545,-119.0656
Bosnia and Herzegovina,Sarajevo,68,1,31,0,68,43.8564,18.4131
