city,country_name,aqi_value,pm25_aqi_value,lat,lng
Bedford,United States of America,56,56,38.8602,-86.4895
Bedford,United States of America,56,56,41.3919,-81.536
Begoro,Ghana,105,105,6.3833,-0.3833
Beipiao,China,93,93,41.802,120.7621
Bela Cruz,Brazil,45,45,-3.0508,-40.1678
Bermejo,Bolivia (Plurinational State of),54,54,-22.7322,-64.3425
Bernburg,Germany,36,36,51.8,11.7333
Berwick,United States of America,50,50,41.0555,-76.2492
Betma,India,153,153,22.68,75.62
Beverly,United States of America,48,48,42.5681,-70.8627
Bezhetsk,Russian Federation,24,24,57.7667,36.7
Bhalwal,Pakistan,179,166,32.2656,72.8994
Bhiwandi,India,151,151,19.2967,73.0631
Binjai,Indonesia,92,92,3.5986,98.4803
Baksan,Russian Federation,48,48,43.6825,43.5339
Baranoa,Colombia,104,104,10.8,-74.9167
Baras,Philippines,51,51,14.5167,121.2667
Baras,Philippines,51,51,13.6667,124.3667
Nong Bua,Thailand,38,38,15.8647,100.5858
Noordwijkerhout,Netherlands,41,41,52.2667,4.5
Northbridge,United States of America,47,47,42.13,-71.6547
Norwich,United Kingdom of Great Britain and Northern Ireland,29,18,52.6286,1.2928
Norwich,United Kingdom of Great Britain and Northern Ireland,29,18,41.5495,-72.0882
Norwich,United Kingdom of Great Britain and Northern Ireland,29,18,42.9833,-80.6
Nuenen,Netherlands,37,37,51.4733,5.5467
Nueva Imperial,Chile,61,61,-38.7433,-72.95
Nuevo Casas Grandes,Mexico,46,46,30.4167,-107.9167
Oak Lawn,United States of America,79,79,41.7139,-87.7528
Oakdale,United States of America,53,53,44.9876,-92.9641
Oakdale,United States of America,53,53,37.7618,-120.8468
Odawara,Japan,39,39,35.25,139.15
Ohrid,Republic of North Macedonia,42,42,41.1169,20.8019
Olecko,Poland,47,47,54.0333,22.5
Olfen,Germany,32,32,51.7167,7.3833
Olindina,Brazil,25,25,-11.3669,-38.3328
Orem,United States of America,73,73,40.2981,-111.6994
Orinda,United States of America,52,52,37.8808,-122.179
Ostuncalco,Guatemala,94,94,14.8693,-91.6211
Oyo,Nigeria,80,80,7.85,3.933
Pachino,Italy,48,48,36.7167,15.1
Padra,India,156,156,22.23,73.08
Paita,France,27,10,-5.0911,-81.1064
Palo,Philippines,55,55,11.1583,124.9917
Panshi,China,76,76,42.9392,126.0561
Paragominas,Brazil,36,36,-2.9958,-47.3528
Paramonga,Peru,41,41,-10.6744,-77.8186
Parkville,United States of America,56,56,39.3832,-76.5519
Pasadena,United States of America,58,58,29.6575,-95.1498
Pasadena,United States of America,58,58,34.1597,-118.139
Pasadena,United States of America,58,58,39.1552,-76.5537
Pataskala,United States of America,45,45,40.011,-82.7155
Pavlodar,Kazakhstan,50,50,52.3,76.95
Pelham,United States of America,46,31,40.9,-73.8063
Pelham,United States of America,46,31,33.3114,-86.7573
Pelham,United States of America,46,31,43.0333,-79.3333
Pelham,United States of America,46,31,42.7335,-71.324
Perote,Mexico,77,77,19.562,-97.242
Petrovaradin,Serbia,63,63,45.25,19.8667
Phatthalung,Thailand,59,59,7.5,100.0
Phetchaburi,Thailand,35,35,13.1119,99.9458
Phillaur,India,444,391,31.03,75.78
Rosetta,Egypt,60,55,31.4044,30.4164
Rossano,Italy,48,12,39.5667,16.6333
Rostov,Russian Federation,32,26,47.2333,39.7
Rostov,Russian Federation,32,26,57.1833,39.4167
Royton,United Kingdom of Great Britain and Northern Ireland,56,56,53.566,-2.121
Rudolstadt,Germany,32,30,50.7169,11.3275
Rumburk,Czechia,29,29,50.9516,14.5571
Rumphi,Malawi,28,28,-11.0167,33.8667
Ruy Barbosa,Brazil,18,18,-12.2839,-40.4939
Sakurai,Japan,40,34,34.5167,135.85
Salford,United Kingdom of Great Britain and Northern Ireland,58,58,53.483,-2.2931
Salvador,Brazil,30,30,-12.9747,-38.4767
Salvador,Brazil,30,30,20.2094,-75.2231
Samsun,Turkey,36,30,41.2903,36.3336
Prabumulih,Indonesia,49,49,-3.4328,104.2356
Presidente Prudente,Brazil,32,32,-22.1256,-51.3889
Prichard,United States of America,28,28,30.7735,-88.1301
Prince George,Canada,21,13,53.9169,-122.7494
Pucallpa,Peru,30,30,-8.3833,-74.55
Puertollano,Spain,32,32,38.6833,-4.1167
Qiryat Gat,Israel,80,80,31.6061,34.7717
Quillota,Chile,182,182,-32.8667,-71.25
Rafiganj,India,356,284,24.82,84.65
Rahway,United States of America,62,62,40.6077,-74.2807
Phulpur,India,226,226,24.955,90.3573
Phulpur,India,226,226,25.55,82.1
Picos,Brazil,16,16,15.083,-23.632
Picos,Brazil,16,16,-7.0769,-41.4669
Pirmasens,Germany,30,30,49.2,7.6
Plum,United States of America,55,55,40.5024,-79.7495
Policoro,Italy,46,14,40.2,16.6667
Port Loko,Sierra Leone,48,48,8.7667,-12.7875
Poughkeepsie,United States of America,43,39,41.695,-73.9211
Randallstown,United States of America,52,52,39.3723,-76.8024
Ranong,Thailand,36,36,9.9619,98.6389
Rathenow,Germany,39,23,52.6,12.3333
Reutov,Russian Federation,58,58,55.7622,37.8567
Richardson,United States of America,56,56,32.9716,-96.7093
Richmond,United States of America,76,76,37.5295,-77.4756
Richmond,United States of America,76,76,49.1667,-123.1333
Richmond,United States of America,76,76,37.9477,-122.3389
Richmond,United States of America,76,76,-41.3333,173.1833
Richmond,United States of America,76,76,39.8318,-84.8905
Richmond,United States of America,76,76,37.7307,-84.2925
Richmond,United States of America,76,76,51.456,-0.301
Richmond,United States of America,76,76,29.5824,-95.7563
Richmond,United States of America,76,76,-33.5983,150.7511
Richmond,United States of America,76,76,-20.7305,143.1425
Rioja,Peru,25,25,-6.05,-77.1417
Riom,France,40,40,45.8936,3.1125
Rocca Priora,Italy,47,27,41.7833,12.7667
Rodez,France,42,42,44.3506,2.575
Romblon,Philippines,50,50,12.55,122.28
Daly City,United States of America,62,62,37.6862,-122.4685
Delmiro Gouveia,Brazil,25,25,-9.3858,-37.9958
Desnogorsk,Russian Federation,34,10,54.15,33.2833
Develi,Turkey,46,46,38.3886,35.4925
Dniprorudne,Ukraine,39,12,47.3907,35.0027
Dogbo,Benin,101,101,6.8167,1.7833
Dumas,United States of America,60,60,35.8613,-101.9642
Dyersburg,United States of America,93,93,36.0465,-89.3777
Eatontown,United States of America,28,25,40.2913,-74.0558
El Campo,United States of America,39,39,29.2,-96.2723
Ellicott City,United States of America,44,44,39.2774,-76.8345
Ena,Japan,42,12,35.4492,137.4128
Giussano,Italy,62,62,45.7,9.2167
Glenrothes,United Kingdom of Great Britain and Northern Ireland,35,35,56.198,-3.178
Glossop,United Kingdom of Great Britain and Northern Ireland,27,27,53.443,-1.949
Gobabis,Namibia,19,19,-22.4333,18.9667
Gobindpur,India,175,175,24.782,85.6943
Godella,Spain,33,28,39.52,-0.4114
Goiatuba,Brazil,37,37,-18.0128,-49.3569
Goirle,Netherlands,30,27,51.5167,5.0667
Golden Glades,United States of America,61,61,25.9129,-80.2013
Gramsh,Albania,68,68,40.8667,20.1833
Granger,United States of America,57,57,41.7374,-86.1348
Grants Pass,United States of America,29,27,42.4333,-123.3317
Granville,,30,25,48.8381,-1.5869
